int32 0,string3 1,int32 2,string2 3,string2 4,bool 5,string2 6,int32 7,int32 8,string2 9,string2 10,string2 11,string2 12,string2 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,string2 24,float 25,float 26,float 27,float 28,float 29,float 30,float 31,float 32,float 33,float 34,int32 35,int32 36,float 37,float 38,float 39,float 40,int32 41,float 42,float 43,float 44,float 45,float 46,float 47,float 48,string2 49,int32 50,int32 51,int32 52,int32 53,string2 54,string2 55,int32 56
101403001,"",-1,"","",false,"d1403accessway02",1,0,"","","","","",0,0,-76.7,6.5,0,0,0,0,1,1,"wall_cl",4,3,3,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403002,"",-1,"","",false,"d1401breakdebris00",1,0,"","","","","",0,0,27.148,0.11,-14.45,0,0,0,1,1,"wall_cl",4,3,3,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403003,"",-1,"","",false,"d1401breakdebris01",1,0,"","","","","",0,0,-16,0,-4.789,0,0,0,1,1,"wall_cl",4,3,3,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403004,"",-1,"","",false,"d14breakdebris00",1,0,"","","","","",0,0,-24.33,0,11.87,-64.794,0,0,1,1,"wall_cl",4,3,3,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403005,"",-1,"","",false,"d1403accessway03",1,0,"","","","","",0,0,-76.7,6.5,0,0,0,0,1,1,"wall_cl",4,3,3,1,0,0,0,0,0,0,0,2,0,0,0,-1,10,4,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403006,"",-1,"DLCEP1_door_01","",false,"d50wooddoor00",1,0,"","","","","",0,0,-42,0,0,270,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403007,"",-1,"DLCEP1_door_01_white","",false,"d50whiteexit00",1,0,"","","","","",0,0,-42,0,0,90,0,0,1,1,"",0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403008,"",-1,"DLCEP1_doorcol_01","",false,"f00iconobj00",1,0,"","","","","",0,0,-42,0,0,90,0,0,1,1,"wall_cl",1.5,4,0.5,1,0,2,160,160,2,2,34,1,0,1.2,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403009,"",-1,"DLCEP1_door_01_out","",false,"f00iconobj00",1,0,"","","","","",0,0,-43,0,0,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
101403010,"",-1,"DLCEP1_door_01_start","",false,"f00iconobj00",1,0,"","","","","",0,0,-41.8,0,0,0,0,0,1,1,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
