int32 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string3 17,int32 18,int32 19,int32 20,string2 21,string2 22,string2 23,int32 24,int32 25,float 26,string3 27,string3 28,string3 29,string3 30,string3 31,string3 32,float 33,float 34,float 35,float 36,float 37,float 38,float 39,float 40,float 41,float 42,float 43,float 44,bool 45,bool 46,int32 47,int32 48,string2 49,float 50,int32 51,float 52,float 53,float 54,float 55,int32 56,float 57,float 58,float 59,float 60,bool 61,bool 62
9010100,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0101",1,1,1,"","cam01_railcam","dep01t0101p",-99,1,4,"dep01t01","dep01t01npc","dep01t01gim","dep01t01prcs","","dep01t01ctrl",40,50,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
9010200,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0132",1,1,1,"","cam01_railcam","dep01t0102p",-99,1,4,"dep01t01","dep01t01npc","dep01t01gim","dep01t01prcs","","dep01t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
9010300,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0133",1,2,1,"","cam01_railcam","dep01t0103p",-99,1,4,"dep01t01","dep01t01npc","dep01t01gim","dep01t01prcs","","dep01t01ctrl",60,200,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2020_RW",10,30,20,25,200,205,30,20,25,200,205,false,false
9010700,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0107",1,1,1,"","cam01_railcam","dep01t0107p",-99,1,4,"dep01t01","dep01t01npc","dep01t01gim","dep01t01prcs","","dep01t01ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
9011000,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0110",1,1,1,"","cam01_railcam","dep01t0110p",-99,1,4,"dep01t01","dep01t01npc","dep01t01gim","dep01t01prcs","","dep01t01ctrl",20,65,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,-1,1000,1000,1000,1000,-1,1000,1000,1000,1000,false,true
9030100,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0301",1,1,1,"","cam01_railcam","dep01t0301p",-99,1,4,"dep01t03","dep01t03npc","dep01t03gim","dep01t03prcs","","dep01t03ctrl",55,60,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
9030200,"DLC001_dbef_10","DLC001_dbef_20","","","","","","","","","","","","","","","bg_t0302",1,1,1,"","t0302_railcam","dep01t0302p",-99,1,4,"dep01t03","dep01t03npc","dep01t03gim","dep01t03prcs","","dep01t03ctrl",40,45,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
9030201,"DLC001_dbef_25","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0302",1,3,2,"","t0302_railcam","dep01t0302p",-99,1,4,"dep01t03","dep01t03npc","dep01t03gim","dep01t03prcs","","dep01t03ctrl",40,45,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
9040200,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t0402",1,1,1,"","cam02_railcam","dep01t0402p",-99,1,4,"dep01t04","dep01t04npc","dep01t04gim","dep01t04prcs","","dep01t04ctrl",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,false,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
9300400,"DLC001_dbef_10","DLC001_dbef_50","","","","","","","","","","","","","","","bg_t3004",1,1,1,"","cam01_railcam","dep01t3004p",-99,1,4,"dep01t30","dep01t30npc","dep01t30gim","dep01t30prcs","","",25,35,0.06,0.06,0.06,0.01,0.01,0.01,15,50,10,0.1,false,true,0,0,"2028_DW",10,30,20,25,200,205,30,20,25,200,205,false,false
