chr_id,lod_model_ref_01,lod_model_ref_02,lod_model_ref_03,lod_model_ref_04,lod_model_ref_05,lod_model_ref_06,lod_model_ref_07,lod_model_ref_08,lod_model_ref_09,lod_model_ref_10
"chr357","","chr357_LOD_2","","","","","","","",""
"chr358","","chr358_LOD_2","","","","","","","",""
"chr418","","chr418_LOD_2","","","","","","","",""
"chr432","","chr432_LOD_2","","","","","","","",""
"chr468","","chr468_LOD_2","","","","","","","",""
"chr854","","","","","","","","","",""
"chr855","","","","","","","","","",""
"chr856","","","","","","","","","",""
"chr857","","","","","","","","","",""
"chr859","","","","","","","","","",""
