int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,bool 7,bool 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,empty 15,int32 16,empty 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int16 36,int16 37,int32 38,int8 39,int8 40,int8 41,int8 42,int8 43,int8 44,int16 45,int32 46,int32 47,empty 48,int16 49,int16 50,empty 51,int32 52,empty 53,int32 54,empty 55,int32 56,empty 57,int32 58,empty 59,int32 60,int32 61,empty 62,int32 63,int32 64,empty 65,int32 66,empty 67,int32 68,empty 69,int32 70,empty 71,string2 72
24481,,,,24481,0,24481,true,true,30011,3,1,24481,,0,,12011,,0,,0,2,1,110,100,1,0,0,9,24,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24482,,,,24482,0,24482,true,true,30101,4,1,24482,,0,,12004,,0,,0,2,1,110,100,1,0,0,2,13,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24495,,,,24491,0,24495,true,true,30281,3,1,24491,,0,,12012,,0,,0,2,1,75,100,1,1,0,10,7,-1,-1,-1,1,1,1,200,5,12,0,100,1,5,0,0,0,0,0,,0,0,,0,,24493,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24851,,,,24851,0,24851,true,true,30221,3,1,24851,,0,,12008,,0,,0,2,1,90,100,1,0,0,6,16,-1,-1,-1,1,1,1,230,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24852,,,,24852,0,24852,true,true,30011,4,1,24852,,0,,12003,,0,,0,2,1,75,100,1,0,0,1,16,-1,-1,-1,5,1,1,285,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24853,,,,24851,0,24853,true,false,0,3,1,24851,,0,,12008,,0,,0,2,1,155,100,1,0,0,6,16,-1,-1,-1,1,1,1,260,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,134020,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24861,,,,24861,0,24861,true,true,30071,3,1,24861,,0,,12005,,0,,0,2,2,90,100,1,0,0,3,21,-1,-1,-1,1,1,1,245,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24862,,,,24862,0,24862,true,true,30071,4,1,24862,,0,,12005,,0,,0,2,1,85,100,1,0,0,3,7,-1,-1,-1,1,1,1,270,5,0,0,100,1,20,0,0,0,2,2,,0,0,,103000,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24863,,,,24861,0,24863,true,false,0,3,1,24861,,0,,12005,,0,,0,2,2,150,100,1,0,0,3,21,-1,-1,-1,1,1,1,285,5,0,0,100,1,20,0,0,0,0,0,,0,0,,0,,108100,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24871,,,,24871,0,24871,true,true,30161,3,1,24871,,0,,12010,,0,,0,2,1,90,100,1,0,0,8,15,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,134020,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
