int32 0,int32 1,int32 2,bool 3,empty 4,empty 5,int32 6,int32 7,int32 8,int32 9,empty 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,int32 18,int32 19,empty 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,empty 30,int32 31,int32 32,int32 33,int32 34,empty 35,int32 36,int32 37,int32 38,int32 39,empty 40,int32 41,int32 42,int32 43,int32 44,empty 45,int32 46,int32 47,int32 48,int32 49,empty 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59
24493,-1,0,false,,,34,100,30,0,,40,100,30,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
577021,-1,0,false,,,39,100,60,2,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
577022,-1,0,false,,,101,100,0,1,,30,100,60,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
577031,-1,0,false,,,34,100,30,1,,39,100,30,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
577131,-1,0,false,,,109,100,3,-1,,325,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583911,-1,0,true,,,326,100,10,-1,,328,100,10,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583912,-1,0,true,,,325,100,10,-1,,327,100,10,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583913,-1,0,true,,,326,100,20,-1,,328,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583914,-1,0,true,,,325,100,20,-1,,327,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583915,-1,0,true,,,325,100,10,-1,,327,100,10,-1,,326,100,10,-1,,328,100,10,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
600001,-1,0,true,,,332,100,30,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
600002,-1,0,true,,,394,100,50,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
600003,-1,0,true,,,396,100,50,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
