encounter_group_id,empty_001,primary_enemy_id,empty_003,empty_004,empty_005,enemy_slot_01_rate,enemy_slot_01_type,enemy_slot_01_param_a,enemy_slot_01_param_b,enemy_slot_01_param_c,enemy_slot_01_param_d,enemy_slot_01_param_e,enemy_slot_01_count,enemy_slot_01_enemy_id,empty_015,empty_016,empty_017,enemy_slot_02_rate,enemy_slot_02_type,enemy_slot_02_param_a,enemy_slot_02_param_b,enemy_slot_02_param_c,enemy_slot_02_param_d,enemy_slot_02_param_e,enemy_slot_02_count,enemy_slot_02_enemy_id,empty_027,empty_028,empty_029,enemy_slot_03_rate,enemy_slot_03_type,enemy_slot_03_param_a,enemy_slot_03_param_b,enemy_slot_03_param_c,enemy_slot_03_param_d,enemy_slot_03_param_e,enemy_slot_03_count,enemy_slot_03_enemy_id,empty_039,empty_040,empty_041,enemy_slot_04_rate,enemy_slot_04_type,enemy_slot_04_param_a,enemy_slot_04_param_b,enemy_slot_04_param_c,enemy_slot_04_param_d,enemy_slot_04_param_e,enemy_slot_04_count,enemy_slot_04_enemy_id,empty_051,empty_052,empty_053,enemy_slot_05_rate,enemy_slot_05_type,enemy_slot_05_param_a,enemy_slot_05_param_b,enemy_slot_05_param_c,enemy_slot_05_param_d,enemy_slot_05_param_e,enemy_slot_05_count,enemy_slot_05_enemy_id,empty_063,empty_064,empty_065,enemy_slot_06_rate,enemy_slot_06_type,enemy_slot_06_param_a,enemy_slot_06_param_b,enemy_slot_06_param_c,enemy_slot_06_param_d,enemy_slot_06_param_e,enemy_slot_06_count,enemy_slot_06_enemy_id,battle_event_key,unk_int32_076,empty_077,unk_int32_078,empty_079,unk_int32_080,empty_081,unknown_bool_082,unknown_bool_083,unknown_bool_084,unk_int32_085
6000301,,85202,,,,100,2,75,100,100,0,0,1,85002,,,,100,2,75,100,100,0,0,1,-1,,,,30,2,75,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000301",-1,,1,,803,,false,false,false,1
6000302,,74503,,,,100,2,75,100,100,0,0,1,74503,,,,100,2,75,100,100,0,0,1,74503,,,,100,2,75,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,58,"battle_6000302",-1,,1,,803,,false,false,false,1
6000303,,13901,,,,100,2,75,100,100,0,0,1,75402,,,,100,2,75,100,100,0,0,1,67001,,,,100,2,75,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000303",-1,,1,,803,,false,false,false,1
6000304,,85001,,,,100,2,80,100,100,0,0,1,85201,,,,100,2,80,100,100,0,0,1,-1,,,,100,2,80,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000304",-1,,1,,803,,false,false,false,1
6000305,,85301,,,,100,2,80,100,100,0,0,1,85401,,,,100,2,80,100,100,0,0,1,-1,,,,100,2,80,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000305",-1,,1,,803,,false,false,false,1
6000306,,83905,,,,100,2,88,100,100,0,0,1,-1,,,,100,2,90,100,100,0,0,1,-1,,,,100,2,90,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,56,"battle_6000306",-1,,1003,,807,,false,false,true,1
6000307,,57402,,,,100,2,70,100,100,0,0,1,8202,,,,100,2,70,100,100,0,0,1,57402,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000308,,19202,,,,100,2,70,100,100,0,0,1,21703,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000309,,19402,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000310,,43103,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000311,,13702,,,,100,2,70,100,100,0,0,1,6003,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000312,,72402,,,,100,2,70,100,100,0,0,1,503,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000313,,21302,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000314,,41302,,,,100,2,70,100,100,0,0,1,38302,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000315,,4402,,,,100,2,70,100,100,0,0,1,73702,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000316,,41302,,,,100,2,70,100,100,0,0,1,72202,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000317,,4402,,,,100,2,70,100,100,0,0,1,77004,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000318,,2803,,,,100,2,70,100,100,0,0,1,38302,,,,100,2,70,100,100,0,0,1,73702,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000319,,9802,,,,100,2,70,100,100,0,0,1,19802,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000320,,47902,,,,100,2,70,100,100,0,0,1,70403,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000321,,42803,,,,100,2,70,100,100,0,0,1,19802,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000322,,41002,,,,100,2,70,100,100,0,0,1,41002,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
