enemy_id,empty_001,base_digimon_id,empty_003,empty_004,enemy_param_id,empty_006,flag_007,flag_008,flag_009,level,unknown_011,unknown_float_012,unknown_float_013,name_key,unknown_015,unknown_016,hp,sp,attack,defense,intelligence,spirit,speed,unk_int32_024,unk_int32_025,unk_int32_026,unk_int32_027,unk_int32_028,unk_int32_029,unk_int32_030,empty_031,unk_int32_032,unk_int32_033,unk_int32_034,unk_int32_035,unk_int32_036,unk_int32_037,empty_038,unk_int32_039,unk_int32_040,empty_041,unk_int32_042,unk_int32_043
402,,4,,,402,,false,false,false,0,20,-1,0.05,"",0,0,1510,780,2970,1350,3550,1480,1160,90,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
4704,,47,,,4704,,false,false,true,0,20,-1,0.05,"",0,0,1170,430,5730,2090,4090,1895,1830,200,60,0,150,0,150,160,,10,6640,10,320,32,0,,0,0,,0,0
7402,,74,,,7402,,false,false,false,0,20,-1,0.05,"",0,0,2080,530,3270,1270,2900,1170,1320,90,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
9203,,92,,,9203,,false,false,false,0,20,-1,0.1,"",0,0,2850,540,3897,920,3897,1000,1120,100,60,0,130,0,130,200,,0,240,4,40,4,0,,0,0,,0,0
14702,,147,,,14702,,false,false,true,0,20,-1,0.05,"",0,0,5830,600,4730,1200,5280,1350,1340,230,60,0,150,0,150,200,,0,840,6,80,8,0,,0,0,,0,0
16202,,162,,,16202,,false,false,true,0,20,-1,0.05,"",0,0,4800,690,3960,1825,4410,1825,1270,260,60,0,150,0,150,200,,17,840,6,160,16,0,,0,0,,0,0
37403,,374,,,37403,,false,false,false,0,20,-1,0.05,"",0,0,1060,530,3140,1500,3180,1320,780,90,60,0,150,0,150,160,,0,264,8,160,16,6,,100,0,,0,20
42203,,422,,,42202,,false,false,false,0,20,-1,0.05,"",0,0,8070,660,5306,1920,3516,1960,1450,150,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
49102,,491,,,49102,,false,false,false,0,20,-1,0.05,"",0,0,1550,670,4310,1660,2580,1500,1320,100,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
60202,,602,,,60202,,false,false,false,0,20,-1,0.05,"",0,0,4350,760,4370,1590,5060,2010,1810,130,80,0,150,0,150,160,,0,840,6,160,16,0,,0,0,,0,0
61602,,616,,,61602,,false,false,false,0,20,-1,0.05,"",0,0,3580,890,4226,1510,4376,1410,1540,140,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
61704,,617,,,61702,,false,false,false,0,20,-1,0.05,"",0,0,3260,910,4516,1400,4056,1260,1490,140,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
71902,,719,,,71902,,false,false,false,0,20,-1,0.05,"",0,0,2680,500,3440,1450,2660,1140,1290,100,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
73102,,731,,,73102,,false,false,false,0,20,-1,0.05,"",0,0,2180,820,3040,1320,3220,1325,1230,100,60,0,150,0,150,160,,0,264,8,160,16,9,,100,0,,0,20
74402,,744,,,74402,,false,false,false,0,20,-1,0.05,"",0,0,10218,600,5185,2655,2075,2465,1010,240,60,0,150,0,150,200,,15,840,6,160,16,0,,0,0,,0,0
75403,,754,,,75403,,false,false,false,0,20,-1,0.05,"",0,0,8554,1144,2270,2450,4920,3125,920,210,60,0,150,0,150,200,,18,840,6,160,16,0,,0,0,,0,0
83901,,839,,,83901,,false,true,true,0,20,-1,0.05,"",0,0,4120,600,5610,2745,5610,2680,1216,300,60,0,150,0,150,200,,12,20000,10,320,32,0,,0,0,,0,0
84701,,847,,,84701,,false,false,true,0,20,-1,0.05,"",0,0,12950,790,5340,3560,5290,3650,1480,300,60,0,150,0,150,200,,12,13640,12,350,35,0,,0,0,,0,0
84801,,848,,,84801,,false,false,true,0,20,-1,0.05,"",0,0,6450,790,5570,3110,5090,2920,1420,270,60,0,150,0,150,200,,12,13640,12,350,35,0,,0,0,,0,0
74003,,740,,,74003,,false,false,false,0,20,-1,0.05,"",0,0,4500,980,4400,1480,4620,1570,2390,130,60,0,150,0,150,200,,0,6640,10,320,32,28,,100,0,,0,15
86001,,860,,,86001,,false,false,true,0,20,-1,0.05,"",0,0,1700,760,5310,2060,5340,2060,2060,200,60,0,150,0,150,200,,12,6640,10,320,32,0,,0,0,,0,0
86101,,861,,,86101,,false,false,true,0,20,-1,0.05,"",0,0,2710,300,5450,2575,5740,2625,1310,200,60,0,150,0,150,160,,12,6640,10,320,32,0,,0,0,,0,0
74102,,741,,,74102,,false,false,false,0,20,-1,0.05,"",0,0,4830,860,4536,1770,4396,1570,1150,150,60,0,150,0,150,200,,0,664,10,320,32,28,,100,0,,0,15
36902,,369,,,36902,,false,false,false,0,20,-1,0.05,"",0,0,1220,320,3297,1310,2937,1240,850,80,60,0,130,0,130,130,,0,84,6,80,8,6,,100,0,,0,25
1704,,17,,,1703,,false,false,false,0,20,-1,0.05,"",0,0,1150,290,3857,1160,2857,960,880,80,60,0,130,0,130,130,,0,84,6,80,8,6,,100,0,,0,25
13402,,134,,,13402,,false,false,false,0,20,-1,0.05,"",0,0,2990,530,4000,1560,3270,1450,1050,90,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
8402,,84,,,8402,,false,false,false,0,20,-1,0.05,"",0,0,2400,780,3340,1450,3860,1390,1460,100,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
5402,,54,,,5402,,false,false,false,0,20,-1,0.05,"",0,0,1350,390,3747,1210,1927,1140,800,80,60,0,130,0,130,130,,0,84,6,80,8,6,,100,0,,0,25
6802,,68,,,6802,,false,false,false,0,20,-1,0.05,"",0,0,350,480,3317,830,3337,860,1130,80,60,0,130,0,130,200,,0,84,6,80,8,9,,100,0,,0,25
40802,,408,,,40802,,false,false,false,0,20,-1,0.05,"",0,0,1540,700,3870,1310,3740,1370,1360,85,60,0,150,0,150,200,,0,264,8,160,16,9,,100,0,,0,20
21004,,210,,,21002,,false,false,false,0,20,-1,0.05,"",0,0,2020,530,3960,1320,1800,1000,1520,90,60,0,150,0,150,200,,0,264,8,160,16,6,,100,0,,0,20
93302,,933,,,95602,,false,true,false,0,20,-1,0.1,"",0,0,400,660,400,3215,550,2095,480,130,0,0,150,0,130,0,,12,0,0,0,0,0,,0,0,,0,0
95602,,956,,,95602,,false,true,true,0,20,-1,0.1,"",0,0,11340,660,4830,2075,5400,2575,1020,300,50,0,150,0,150,200,,12,20000,16,2400,160,0,,0,0,,0,0
37703,,377,,,37702,,false,false,false,0,20,-1,0.05,"",0,0,820,810,2770,1300,3650,1720,950,80,60,0,130,0,130,130,,0,84,6,80,8,6,,100,0,,0,25
75502,,755,,,75502,,false,false,false,0,20,-1,0.05,"",0,0,820,810,2670,1300,3472,1970,1050,80,60,0,130,0,130,130,,0,84,6,80,8,9,,100,0,,0,25
