int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,empty 7,empty 8,empty 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,empty 16,empty 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,empty 26,empty 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,empty 35,empty 36,int32 37,int32 38,int32 39,empty 40,empty 41
1,6,340,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,340,-1,,
2,6,341,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,341,-1,,
3,4,-1,-1,-1,-1,1,,,,18,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,1,,
4,12,362,401,-1,-1,1,,,,15,-1,-1,-1,-1,1,,,,13,369,-1,-1,-1,-1,,,,6,329,-1,-1,-1,-1,,,,3,329,2,,
5,12,362,401,-1,-1,1,,,,6,315,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,315,1,,
6,12,362,401,-1,-1,1,,,,6,304,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,304,1,,
7,12,362,401,-1,-1,1,,,,6,308,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,308,1,,
8,15,-1,-1,-1,-1,1,,,,14,363,-1,-1,-1,-1,,,,6,309,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,309,2,,
9,11,367,403,-1,-1,1,,,,6,320,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,320,1,,
10,11,367,403,-1,-1,1,,,,6,310,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,310,1,,
11,2,501,-1,0,30,1,,,,2,501,-1,0,50,3,,,,6,349,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,349,1,,
12,2,501,-1,0,30,1,,,,2,501,-1,0,50,3,,,,6,314,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,314,1,,
13,2,501,-1,0,30,1,,,,2,501,-1,0,50,3,,,,6,376,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,376,1,,
14,2,501,-1,0,30,1,,,,2,501,-1,0,50,2,,,,6,343,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,343,1,,
15,2,501,-1,0,30,1,,,,2,501,-1,0,50,2,,,,6,301,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,301,1,,
16,2,501,-1,0,30,1,,,,2,501,-1,0,50,2,,,,6,375,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,375,1,,
17,3,-1,-1,-1,-1,2,,,,6,351,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,351,1,,
18,3,-1,-1,-1,-1,1,,,,6,346,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,346,1,,
19,12,352,401,-1,-1,1,,,,6,345,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,345,1,,
20,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,-1,,
