int32 0,int32 1,string3 2,string3 3,int32 4,int32 5,int32 6,string3 7,string3 8,string3 9,string2 10,float 11,float 12,string2 13,int32 14,int32 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,int32 23,int32 24,float 25,float 26,float 27,float 28,int32 29,int32 30,string3 31,string3 32,string3 33,int32 34,float 35,bool 36,float 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43
340216001,-1,"","npc105ha010101",0,0,0,"","","e541","",0,0,"F01",0,0,5.467,0.269,-15.373,-160.431,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216002,-1,"","npc105ha010101",0,0,0,"","","e544","",0,0,"F01",0,0,11.152,0.269,-10.177,58.852,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216003,-1,"","npc105ha010101",0,0,0,"","","e540","",0,0,"F01",0,0,11.744,0.269,-8.689,184.857,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216004,-1,"","npc105ha010101",0,0,0,"","","e539","",0,0,"F01",0,0,16.814,0.269,-6.132,105.73,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216005,-1,"","npc105ha010101",0,0,0,"","","e539","",0,0,"F01",0,0,-10.249,0.27,-2.774,270.225,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216006,-1,"","npc105ha010101",0,0,0,"","","e017","",0,0,"F01",0,0,-6.858,0.268,4.369,328.224,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216007,-1,"","mob030010101",0,0,0,"","","fn11","",0,0,"F01",0,0,7.27,0.269,-10.517,145.651,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216008,-1,"","mob030010101",0,0,0,"","","fn10","",0,0,"F01",0,0,5.446,0.269,-12.139,350.167,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216009,-1,"","mob030010101",0,0,0,"","","fn06","",0,0,"F01",0,0,1.764,0.27,-4.889,356.122,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216010,-1,"","npc105ha010101",0,0,0,"","","e548","",0,0,"F01",0,0,-8.78,0.27,-0.483,134.007,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"1","","","","",""
340216011,-1,"","npc105ha010101",0,0,0,"","","e548","",0,0,"F01",0,0,-7.903,0.269,1.478,123.84,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"1","","","","",""
340216012,-1,"","npc105ha010101",0,0,0,"","","e548","",0,0,"F01",0,0,13.265,0.27,-13.046,302.928,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"1","","","","",""
340216013,-1,"","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,2.449,0.27,-3.501,229.097,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216014,-1,"","mob030010101",0,0,0,"","","fn02","",0,0,"F01",0,0,1.073,0.27,-3.319,179.899,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216015,-1,"","npc105ha010101",0,0,0,"","","e548","",0,0,"F01",0,0,15.798,0.27,-7.659,306.509,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"1","","","","",""
340216016,-1,"","npc105ha010101",0,0,0,"","","e524","",0,0,"F01",0,0,15.819,3.674,3.103,205.375,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216017,-1,"","npc105ha010101",0,0,0,"","","e524","",0,0,"F01",0,0,0.93,3.219,8.097,228.195,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216018,-1,"","npc105ha010101",0,0,0,"","","e008","",0,0,"F01",0,0,1.242,0.139,5.155,347.473,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216019,-1,"","npc105ha010101",0,0,0,"","","e544","",0,0,"F01",0,0,-6.56,0.267,5.333,269.151,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216020,-1,"","npc105ha010101",0,0,0,"","","e539","",0,0,"F01",0,0,5.173,0.269,-18.342,161.199,0,0,1,1,0,0,0,0,-1,0,0,"","","",1,0,true,-1,"","","","","",""
340216021,-1,"","mob030010101",0,0,0,"","","fn08","",0,0,"F01",0,0,8.451,3.91,-15.147,152.735,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
340216022,-1,"","mob030010101",0,0,0,"","","fn08","",0,0,"F01",0,0,7.587,4.021,-19.59,-17.41,0,0,1,1,0,0,0,0,-1,1,0,"","","",1,0,true,-1,"","","","","",""
