chr_id,lod_model_ref_01,lod_model_ref_02,lod_model_ref_03,lod_model_ref_04,lod_model_ref_05,lod_model_ref_06,lod_model_ref_07,lod_model_ref_08,lod_model_ref_09,lod_model_ref_10
"chr689","","chr689_LOD_2","","","","","","","",""
"chr690","","chr690_LOD_2","","","","","","","",""
"chr691","","chr691_LOD_2","","","","","","","",""
"chr692","","chr692_LOD_2","","","","","","","",""
"chr693","","chr693_LOD_2","","","","","","","",""
"chr848","","","","","","","","","",""
"chr849","","","","","","","","","",""
"chr860","","","","","","","","","",""
"chr861","","","","","","","","","",""
"chr862","","","","","","","","","",""
"chr868","","","","","","","","","",""
"chr869","","","","","","","","","",""
"chr870","","","","","","","","","",""
"chr871","","","","","","","","","",""
"chr872","","","","","","","","","",""
"npc005b","","npc005b_LOD_2","","","","","","","",""
