chr_id,empty_001,unk_string2_002,unk_string2_003,unk_string2_004,unk_float_005,empty_006,empty_007,unk_float_008,unk_float_009,npc_collision,unk_float_011,unk_float_012,unk_float_013,unk_float_014,unk_float_015,unk_float_016,unk_float_017,unk_float_018,unk_float_019,unk_float_020,unk_float_021,unk_float_022,unk_float_023,unk_float_024,unk_float_025,unk_float_026,unk_string2_027,unk_string2_028,unk_string2_029,unk_string2_030,unk_string2_031,unk_string2_032,unk_float_033,unk_float_034,unk_float_035,unk_float_036,unk_int32_037,digimon_distance_from_agent,agent_distance_2,agent_distance,unk_float_041,unk_float_042,camera_distance_skill,unk_float_044,unk_float_045,unk_float_046,shield_size,empty_048,empty_049,empty_050,unk_float_051,unk_string2_052,unk_float_053,unk_float_054,unk_float_055,battle_scale,unk_float_057,menu_scale,field_scale,unk_float_060,unk_float_061,unk_float_062,unk_float_063,unk_int32_064,unk_int32_065,unk_int32_066,unk_int8_067,unk_int8_068,unk_int8_069,unk_int8_070,rideable,empty_072,unk_int32_073,unk_int32_074,unk_int8_075,unk_int8_076,unk_int8_077,unk_int8_078,unk_string2_079,unk_int32_080,unk_int32_081
"chr357",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.84,-1,0.24,1,2,1.5,-1,1.6,1.4,4.6,0,0,0,0.92,,,,0.92,"CP01",0,0.2,0,1,2.3,0.7,0.7,1,1,1,1,25,18,310003,15,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr854",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.1,2,-1,1.6,1.4,4.6,0,0,0,1.426,,,,1.426,"CP01",0,0.2,0,1,1,1,0.7,1.55,1,1.55,1,25,18,310003,15,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr358",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,2.4552,6.9564,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.6,-1,0.36,1,2.9,1.5,-1,1.6,1.4,3.8,0,0,0,0.912,,,,0.912,"CP01",0,0.2,0,1.2,2,0.65,0.65,1,1,1,1,25,18,310010,10,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr855",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.9,2,-1,1.6,1.4,3.8,0,0,0,1.596,,,,1,"CP01",0,0.2,0,1,1.4,1,1,2.1,1,2.1,1,25,18,310010,10,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr418",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.914,5.568,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.76,-1,0.36,1,2.6,0.75,-1,1.6,1.5,3.8,0,0,0,0.76,,,,0.76,"CP01",0,0.2,0,1,2.2,0.8,0.8,1,1,1,1,25,18,310003,16,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr856",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.6,2,-1,1.6,1.5,3.8,0,0,0,1.444,,,,1,"CP01",0,0.2,0,1,1.4,1,1,1.9,1,1.9,1,25,18,310003,16,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr432",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.62,5.04,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.12,-1,0.48,1,2.2,0.5,-1,1.5,1.3,3.6,0,0,0,0.72,,,,0.72,"CP01",0,0.2,0,1,1.4,0.8,0.8,1,1,1,1,23,18,310012,0,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr857",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.2,2,-1,1.5,1.3,3.6,0,0,0,1.044,,,,0.6,"CP01",0,0.2,0,1,1.4,1,1,1.45,1,1.45,1,23,18,310012,0,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr468",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,2.387,6.479,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.44,-1,0.36,1,4.5,2,-1,3.4,1.9,5.8,0,0,0,1.044,,,,1.044,"CP01",0,0.2,0,0.9,1.8,0.65,0.65,1,1,1,1,25,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr859",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,4.5,2,-1,3.4,1.9,5.8,0,0,0,2.0373225,,,,1.1,"CP01",0,0.2,0,1,1.4,1,1,1.45,1,1.45,1,25,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"npc404a",,"","","",1,,,0.25,1.5,0.25,1.5,0.25,1.5,0.3,1.8,0.25,1.5,0.25,1.5,0.35,1.9,-1,-1,1.5,3,5,"e003","","","","","",7.4,0.496,-1,0.64,0,1,0,180,0.5,0.7,2,0,0.5,0.5,0.4,,,,0.25,"head",0,0.1,0,1,1,1,1,1,1,1,1,15,18,0,0,-1,-1,-1,0,,0,1,0,0,0,0,"head",1,1
