int32 0,int32 1,int32 2,empty 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,int32 15,int32 16,int32 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,empty 37,int32 38,int32 39,int32 40,int32 41,int32 42,empty 43,int32 44,int32 45,int32 46,int32 47,int32 48,empty 49,int32 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59,int32 60,empty 61,int32 62,int32 63,int32 64,int32 65,int32 66,empty 67,int32 68,int32 69,int32 70,int32 71
4850100,48501,0,,-1,0,0,0,0,0,0,0,24852,,20,0,0,0,30073,,20,0,0,0,34021,,0,0,0,0,30143,,20,0,0,0,32051,,0,0,0,0,24853,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4850101,48501,1,,-1,10,0,15,0,101,0,0,24852,,40,0,0,0,30073,,20,0,0,0,30143,,20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
4860100,48601,0,,-1,0,0,0,0,0,0,0,24862,,15,0,0,0,30083,,20,0,0,0,30093,,30,0,0,0,30063,,20,0,0,0,30303,,20,0,0,0,24863,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4860101,48601,1,,-1,0,1,17,0,8,0,0,24862,,50,0,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
4870100,48701,0,,-1,0,0,0,0,0,0,0,24871,,20,0,0,0,30013,,20,0,0,0,30186,,30,0,0,0,24873,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4870101,48701,1,,-1,0,1,17,1,34,0,0,24871,,30,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
4880100,48801,0,,-1,0,0,0,0,0,0,0,24882,,15,0,0,0,30313,,30,0,0,0,30186,,20,0,0,0,30246,,20,0,0,0,24883,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
4880101,48801,1,,-1,0,1,17,0,10,0,0,24882,,50,0,1,0,0,,0,0,0,0,30186,,-20,0,0,0,30246,,-20,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
7700300,77003,0,,-1,0,0,0,0,0,0,0,27701,,0,0,0,0,30133,,20,0,0,0,30153,,20,0,0,0,30013,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
7710200,77102,0,,-1,0,0,0,0,0,0,0,27711,,20,0,0,0,27712,,15,0,0,0,30153,,20,0,0,0,32231,,15,0,0,0,30313,,10,0,0,0,32201,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
8380200,83802,0,,-1,0,0,0,0,0,0,0,24492,,5,0,0,0,32141,,30,0,0,0,32161,,10,0,0,0,24491,,5,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,30,0,0,0
8380201,83802,1,,-1,10,0,17,0,34,0,0,24492,,0,0,0,0,30306,,40,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,20,0,0,0
8380202,83802,2,,-1,20,2,2,0,0,20,0,31011,,10,0,1,0,30306,,10,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8390300,83903,0,,-1,0,0,0,0,0,0,0,24494,,20,0,0,0,30303,,20,0,0,0,30283,,20,0,0,0,32201,,10,0,0,0,32221,,10,0,0,0,24494,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,30,0,0,0
8390400,83904,0,,-1,0,0,0,0,0,0,0,24495,,0,0,0,0,24494,,20,0,0,0,30283,,20,0,0,0,30303,,20,0,0,0,30223,,10,0,0,0,30193,,0,0,0,0,30213,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,0,0,0,0
8390401,83904,1,,-1,0,0,21,0,0,0,0,24495,,0,0,0,0,24494,,20,0,0,0,30283,,20,4,0,1,30303,,20,0,0,0,30223,,10,4,0,1,30193,,0,4,0,1,30213,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10011,,5,0,0,0
