string2 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,int32 9
"FLAG_DLC_EP03_002",29602,3300,0,"t",3001,0,"start_00","P2028_daft_440",1
"FLAG_DLC_EP03_003",29603,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_004",29604,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_005",29605,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_006",29606,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_007",29607,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_008",29608,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_009",29609,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_010",29610,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_011",29611,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_012",29612,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_013",29613,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_014",29614,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_015",29615,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_016",29616,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_017",29617,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_018",29618,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_019",29619,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_020",29620,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_021",29621,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_022",29622,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_023",29623,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_024",29624,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_025",29625,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_026",29626,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_027",29627,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_028",29628,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_029",29629,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_030",29630,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_031",29631,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_032",29632,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_033",29633,3300,40,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_034",29634,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_035",29635,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_036",29636,3300,30,"dep03d",5006,0,"start_02","DLC003_dbef_30",1
"FLAG_DLC_EP03_037",29637,3300,40,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_038",29638,3300,40,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_039",29639,3300,40,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_040",29640,3300,45,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_041",29641,3300,45,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_042",29642,3300,45,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_043",29643,3300,45,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_044",29644,3300,45,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_045",29645,3300,50,"dep03d",5006,0,"start_02","DLC003_dbef_50",1
"FLAG_DLC_EP03_046",29646,3300,50,"dep03d",5006,0,"start_02","DLC003_dbef_50",1
"FLAG_DLC_EP03_047",29647,3300,50,"dep03d",5006,0,"start_02","DLC003_dbef_50",1
"FLAG_DLC_EP03_048",29648,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_049",29649,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_050",29650,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_051",29651,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_052",29652,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_053",29653,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_054",29654,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_055",29655,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_056",29656,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_057",29657,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_058",29658,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_059",29659,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_IS_CLEAR_DLC030_010",29660,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_BTL010",29670,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_BTL020",29671,3300,0,"t",3001,0,"start_00","DLC003_dbef_10",1
"FLAG_DLC_EP03_BTL030",29672,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_BTL040",29673,3300,40,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_BTL050",29674,3300,40,"dep03d",5006,0,"start_02","DLC003_dbef_40",1
"FLAG_DLC_EP03_BTL060",29675,3300,50,"dep03d",5006,0,"start_02","DLC003_dbef_50",1
"FLAG_DLC_EP03_BTL070",29676,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_BTL080",29677,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_BTL090",29678,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_BTL100",29679,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_IS_RETURNLOBBY",29701,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_IS_GETONCEITEM",29702,-1,0,"t",101,0,"start_00","FirstPresent",1
"FLAG_DLC_EP03_IS_SENDDIGITTER_01",29750,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
"FLAG_DLC_EP03_IS_SENDDIGITTER_02",29751,3300,20,"dep03d",5006,0,"start_02","DLC003_dbef_20",1
