int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,float 20,int32 21,string2 22,string2 23,int32 24,int32 25,int32 26,string2 27,int32 28,string2 29,string2 30,string2 31,int32 32,string2 33,string2 34,string2 35,string2 36,string2 37,string2 38,string2 39,string2 40,string2 41,string2 42,string2 43,string2 44,string2 45,string2 46,string2 47,string2 48,empty 49
530010,530,,10,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530010,"t3004","dlc_elvmob_03",-1,1,0,"",0,"10206","155","10212",-1,"Common","","","","","","","","A2028_daft_341","A2028_daft_342","","","","","","",
530020,530,,20,5,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530020,"dep03d5001","DLCEP3_door_1",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","A2028_daft_341","A2028_daft_342","","","","","","",
530030,530,,30,10,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530030,"dep03d5006","DLCEP3_door_1",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530040,530,,40,15,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530030,"dep03t0106","DLCEP3_door_1",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530050,530,,50,17,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530030,"dep03d0210","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530060,530,,60,20,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530035,"dep03d0210","DLCEP3_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530070,530,,70,25,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530030,"dep03d0104","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530080,530,,80,30,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530035,"dep03d0104","DLCEP3_doorcol_02",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530090,530,,90,35,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530040,"dep03d0406","evt_0001",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530100,530,,100,40,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530050,"dep03d0406","DLCEP3_doorcol_01",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530110,530,,110,45,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530060,"dep03d5006","DLCEP3_doorcol_05",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
530111,530,,111,45,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,530070,"dep03d5006","DLCEP3_doorcol_06",-1,1,0,"",0,"","","",-1,"Common","","","","","","","","","","","","","","","",
