int32 0,empty 1,string2 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int32 11
1003571,,"J_head",55,55,10,40,100,0,0,0,0
1008541,,"J_head",55,55,10,40,100,0,0,0,0
1003581,,"J_head",55,55,10,40,100,0,0,0,0
1008551,,"J_head",55,55,10,40,100,0,0,0,0
1004181,,"J_head",55,55,20,40,100,0,0,0,0
1008561,,"J_head",55,55,20,40,100,0,0,0,0
1004321,,"J_head",65,65,10,40,100,0,0,0,0
1008571,,"J_head",65,65,10,40,100,0,0,0,0
1004681,,"J_head",55,55,10,40,100,0,0,0,0
1008591,,"J_head",55,55,10,40,100,0,0,0,0
