int32 0,int32 1,int32 2,bool 3,empty 4,empty 5,int32 6,int32 7,int32 8,int32 9,empty 10,int32 11,int32 12,int32 13,int32 14,empty 15,int32 16,int32 17,int32 18,int32 19,empty 20,int32 21,int32 22,int32 23,int32 24,empty 25,int32 26,int32 27,int32 28,int32 29,empty 30,int32 31,int32 32,int32 33,int32 34,empty 35,int32 36,int32 37,int32 38,int32 39,empty 40,int32 41,int32 42,int32 43,int32 44,empty 45,int32 46,int32 47,int32 48,int32 49,empty 50,int32 51,int32 52,int32 53,int32 54,empty 55,int32 56,int32 57,int32 58,int32 59
24491,-1,0,false,,,118,100,0,0,,119,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
26892,-1,0,false,,,94,100,20,2,,96,100,20,2,,46,100,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
574401,-1,0,true,,,325,100,30,-1,,332,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
574402,-1,0,true,,,325,100,30,-1,,326,100,20,-1,,328,100,20,-1,,332,100,20,-1,,108,100,2,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
575401,-1,0,true,,,394,100,20,-1,,396,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
575402,-1,0,true,,,333,100,10,-1,,335,100,10,-1,,340,100,10,-1,,339,100,50,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583901,-1,0,true,,,329,100,30,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583902,-1,0,true,,,326,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583903,-1,0,true,,,328,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583904,-1,0,true,,,330,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
583905,-1,0,true,,,325,100,30,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
584701,-1,0,true,,,91,100,0,0,,325,100,60,-1,,326,100,60,-1,,328,100,60,-1,,329,100,60,-1,,330,100,60,-1,,332,100,60,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
584702,-1,0,true,,,329,100,40,-1,,330,100,40,-1,,326,100,40,-1,,328,100,40,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
584703,-1,0,true,,,329,100,20,-1,,330,100,20,-1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
595611,-1,0,true,,,325,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
595612,-1,0,true,,,327,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
595613,-1,0,true,,,332,100,20,-1,,0,100,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
