int32 0,empty 1,empty 2,empty 3,string2 4,int32 5,string2 6,int32 7,float 8,int32 9,int32 10,int32 11,int32 12,bool 13,empty 14
26891,,,,"ef_b_chr689_bs01",1,"",3,0,1,0,-1,-1,false,
26892,,,,"ef_b_chr689_bs02",1,"",3,0,1,0,-1,-1,false,
26901,,,,"ef_b_chr690_bs01",1,"",3,0,1,0,-1,-1,false,
26902,,,,"ef_b_chr690_bs02",1,"",3,0,1,0,-1,-1,false,
26911,,,,"ef_b_chr691_bs01",1,"",3,0,1,0,-1,-1,false,
26912,,,,"ef_b_chr691_bs02",1,"",3,0,1,0,0,-1,false,
26921,,,,"ef_b_chr692_bs01",1,"",3,0,1,0,-1,-1,false,
26922,,,,"ef_b_chr692_bs02",1,"",3,0,1,0,-1,-1,false,
26931,,,,"ef_b_chr693_bs01",1,"",3,0,1,0,-1,-1,false,
26932,,,,"ef_b_chr693_bs02",1,"",3,0,1,0,-1,-1,false,
