int32 0,empty 1,string2 2,string2 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,empty 18,bool 19,bool 20,bool 21,bool 22,bool 23,bool 24,bool 25,bool 26,bool 27,bool 28,bool 29,bool 30,bool 31,bool 32,bool 33,bool 34,bool 35,bool 36,bool 37,bool 38,bool 39,bool 40,bool 41,bool 42,bool 43,bool 44,bool 45,bool 46,bool 47,bool 48,bool 49,bool 50,int32 51,bool 52,bool 53,bool 54,bool 55,bool 56,bool 57,bool 58,bool 59,bool 60,int32 61,int32 62,int32 63,int32 64,int32 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,int32 72,empty 73,int32 74,int32 75,empty 76,int32 77,int32 78,empty 79,int32 80,int32 81,empty 82,int32 83,int32 84,empty 85,int32 86,int32 87,empty 88,int32 89,int32 90,empty 91,int32 92,int32 93,empty 94,int32 95,int32 96,empty 97,int32 98,int32 99,empty 100,int32 101,int32 102,empty 103,int32 104,int32 105,empty 106,int32 107,int32 108,empty 109,int32 110,int32 111,empty 112,int32 113,int32 114,empty 115,int32 116,int32 117,empty 118,int32 119,int32 120,int32 121,int32 122,float 123,bool 124,bool 125,int32 126,empty 127,int32 128,int32 129,int32 130,int32 131,int32 132,int32 133,int32 134,int32 135
689,,"char_BLITZGREYMON","chr689",6,0,2,0,3,1,1,0,0,3,3,0,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,1918,640,1120,905,645,735,785,1,26891,,1,26892,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30013,,2,32011,,25,30156,,40,30036,,60,3,2,3,0,true,false,26891,,107,106,104,454,689,-1,0,-1
690,,"char_CRESGARURUMON","chr690",6,0,1,0,1,3,3,0,0,1,0,0,0,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,1281,976,905,690,865,710,990,1,26901,,1,26902,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30103,,2,30246,,25,32121,,40,34051,,60,3,2,3,0,true,false,26901,,107,106,104,452,690,-1,0,-1
691,,"char_OMEGAMON_ALTER-S","chr691",7,0,2,3,0,0,0,0,1,0,0,0,3,1,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,2156,792,1430,1070,1165,940,970,1,26911,,1,26912,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30036,,2,30103,,25,34021,,40,32051,,60,3,2,3,0,true,false,26911,,107,106,104,456,691,-1,0,-1
692,,"char_OMEGAMONZWART_D","chr692",7,0,2,1,0,0,0,0,0,0,0,3,1,3,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,2212,800,1070,1020,1190,990,1120,1,26921,,1,26922,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30283,,2,32011,,25,30336,,40,32201,,60,3,2,3,0,true,false,26921,,107,106,104,457,692,-1,0,-1
693,,"char_OMEGAMON_ALTER-B","chr693",7,0,2,0,0,0,3,0,0,0,1,0,1,3,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,2212,720,1520,1020,1290,1090,1020,1,26931,,1,26932,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,30283,,2,30306,,25,30223,,40,32141,,60,3,2,3,0,true,false,26931,,107,106,104,455,693,-1,0,-1
847,,"char_OMEGAMON_ALTER-B_BIG","chr862",7,1,2,3,0,0,0,0,0,0,1,0,0,4,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,2156,792,1430,1070,1165,940,970,1,26931,,1,26932,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34031,,2,32091,,30,32111,,50,31061,,70,4,2,3,0,true,false,20881,,206,214,227,-1,847,-1,0,-1
848,,"char_OMEGAMONZWART_D_BIG","chr861",7,1,2,3,3,0,0,0,0,0,0,0,1,3,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,2156,792,1430,1070,1165,940,970,1,26921,,1,26922,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34031,,2,32091,,30,32111,,50,31061,,70,4,2,3,0,true,false,20881,,206,214,227,-1,848,-1,0,-1
849,,"char_OMEGAMON_ALTER-S_BIG","chr860",7,1,2,3,0,0,0,0,1,0,0,0,4,0,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,3,1,99,2156,792,1430,1070,1165,940,970,1,26911,,1,26912,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,34031,,2,32091,,30,32111,,50,31061,,70,4,2,3,0,true,false,20881,,206,214,227,-1,849,-1,0,-1
860,,"char_MIRAGEGAOGAMON_BIG","chr849",6,1,1,3,0,0,0,1,0,1,0,3,0,0,,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,false,false,false,false,false,false,false,2,1,99,1645,760,1035,605,755,625,1035,7,20951,,1,20952,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32111,,2,30193,,25,30213,,40,34071,,60,3,2,3,0,true,false,20951,,27,36,94,-1,860,-1,0,-1
861,,"char_GODDRAMON_BIG","chr848",6,1,0,1,0,0,0,0,0,0,3,0,4,2,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,15,1,99,2008,600,980,905,1025,895,690,4,20481,,1,0,,2,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,0,,3,32071,,2,30213,,25,30193,,40,31061,,60,3,2,3,0,true,false,20481,,214,204,93,-1,861,-1,0,-1
