int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,string2 6,string2 7,int32 8,int32 9,float 10,float 11,float 12,float 13,float 14,float 15,float 16,int32 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,string2 27,int32 28
9010101,,14,1,-1,3,"","",1,7000,-20.141,0.313,-9.347,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010102,,14,1,-1,9,"","",1,7001,6.271,0.299,30.522,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010103,,14,1,-1,27,"","",1,7002,-8.35,0.299,-31.11,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9011001,,14,1,-1,89,"","",1,7005,-3.444,0,5.21,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9011002,,14,1,-1,65,"","",1,7006,3.605,0,-11.796,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010201,,14,1,-1,9,"","",1,7010,1.051,0,-64.019,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010202,,14,1,-1,29,"","",1,7011,-6.046,0,-48.28,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010701,,14,1,-1,34051,"","",1,7020,14.746,0.055,-7.648,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010702,,14,1,-1,1066,"","",1,7021,-21.985,0,-18.488,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010703,,14,1,-1,1025,"","",1,7022,-22.871,0.055,32.097,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9030101,,14,1,-1,3,"","",1,7030,5.355,0.285,11.586,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9030102,,14,1,-1,39,"","",1,7031,-5.105,0.224,-11.445,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9030201,,14,1,1,13,"","",1,7040,21.067,0.008,26.835,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9030202,,14,1,1,24,"","",1,7041,-24.803,0.003,6.007,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9030203,,14,1,2,14,"","",1,7042,-15.877,0.05,-9.615,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9030204,,14,1,2,29,"","",1,7043,20.771,0.008,5.498,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10130401,,14,1,-1,31022,"","",1,7050,-46.169,0,-2.518,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10130402,,14,1,-1,1035,"","",1,7051,20.265,0,19.108,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10130403,,14,1,-1,24,"","",1,7052,10.217,0,-12.311,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10140101,,14,1,-1,59,"","",1,7060,72.284,0.999,-20.067,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10140102,,14,1,-1,354,"","",1,7061,83.856,1,-31.09,270,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10140103,,14,1,-1,29,"","",1,7062,61.047,0.49,31.701,270,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10140301,,14,1,-1,91,"","",1,7065,31.077,-0.001,10.219,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10140302,,14,1,-1,71,"","",1,7066,-52.72,-0.001,-0.045,270,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10140303,,14,1,-1,77,"","",1,7067,31.249,0,-9.895,270,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10120201,,14,1,-1,59,"","",1,7070,-85.288,1.075,5.213,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10120202,,14,1,-1,46,"","",1,7071,33.282,6.033,71.932,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10120401,,14,1,-1,203,"","",1,7075,-0.754,0.03,19.854,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10120402,,14,1,-1,90,"","",1,7076,-34.21,3,-34.64,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10120403,,14,1,-1,68,"","",1,7077,2.886,0.03,-66.695,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
10120404,,14,1,-1,74,"","",1,7078,-34.951,14.999,-41.383,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010301,,14,1,-1,27,"","",1,7080,-34.441,0.152,-69.863,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010302,,14,1,-1,27,"","",1,7081,-4.253,-0.001,-35.676,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010303,,14,1,-1,27,"","",1,7082,16.605,0.05,-21.543,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9010304,,14,1,-1,43,"","",1,7083,-6.258,0.099,-50.406,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
9040201,,14,1,-1,27,"","",1,7090,0.564,0,0.25,0,0,0,0.5,0,10,-1,0,0,0,0,-1,0,0,"",0
