string2 0,empty 1,string2 2,string2 3,string2 4,float 5,empty 6,empty 7,float 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,string2 27,string2 28,string2 29,string2 30,string2 31,string2 32,float 33,float 34,float 35,float 36,int32 37,float 38,float 39,int32 40,float 41,float 42,float 43,float 44,float 45,float 46,float 47,empty 48,empty 49,empty 50,float 51,string2 52,float 53,float 54,float 55,float 56,float 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,int8 67,int8 68,int8 69,int8 70,int32 71,empty 72,int32 73,int32 74,int8 75,int8 76,int8 77,int8 78,string2 79,int32 80,int32 81
"chr848",,"","","",1,,,0.3,1.8,1.8,4.5,1.8,3,0.3,1.8,1.8,3,1.008,2.52,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.5,1.5,210,2.2,1.8,6.1,0,0,0,2.013,,,,1.03,"CP01",0,0.2,0,1,1.4,0.56,0.56,1.65,1,1.65,1,14,18,310012,0,-1,-1,-1,2,,0,1,1,0,2,0,"CP01",0,0
"chr849",,"","","",1,,,0.3,1.8,1.476,4.182,1.476,3,0.3,1.8,1.476,3,0.82656,2.34192,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.5,1.5,190,1,2.1,3.7,0,0,0,1.036,,,,0.9,"CP01",0,0.2,0,1,1.4,0.56,0.56,1.4,1,1.4,1,13,18,310003,7,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr689",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,1.92,-1,0.4,1,2.5,0.6,190,1.3,1.3,2.5,0,0,0,0.75,,,,0.75,"CP01",0,0.2,0,1,2.4,0.8,1,1.5,0.8,1.15,1.15,25,18,310012,0,-1,-1,-1,1,,0,1,0,0,1,2,"CP01",1,0
"chr690",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,1.44,-1,0.4,1,3.7,0.4,180,1.2,1.5,3.5,0,0,0,0.7,,,,0.7,"CP01",0,0.2,0,1,1.8,0.6,0.75,1,0.5,0.85,0.85,19,18,310003,10,-1,-1,-1,2,,0,1,0,2,1,0,"CP01",1,0
"chr691",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",5.2,1.84,-1,0.24,1,2.5,1.4,180,2,1.9,5,0,0,0,0.88,,,,0.88,"CP01",0,0.2,0,0.88,2.3,0.7,0.7,1,0.8,1,1,14,18,310003,5,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr860",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,1.5,210,2,1.9,5,0,0.5,0.5,1.45,,,,0.8,"CP01",0,0.2,0,1,1,0.45,0.7,1.45,0.8,1.45,1,14,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr693",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",5.2,1.84,-1,0.24,1,2.5,1.4,180,2,1.9,5,0,0,0,0.88,,,,0.88,"CP01",0,0.2,0,0.88,2.3,0.7,0.7,1,0.8,1,1,14,18,310003,5,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr862",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,1.5,210,2,1.9,5,0,0.5,0.5,1.47,,,,0.8,"CP01",0,0.2,0,1,1,0.45,0.7,1.47,0.8,1.47,1,14,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr692",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1.5,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",5.2,1.84,-1,0.24,1,3.5,1,180,1.8,1.7,4.7,0,0,0,0.8272,,,,0.8272,"CP01",0,0.2,0,0.88,2.3,0.7,0.7,1,0.8,1,1,19,18,310010,8,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr861",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.8648,3,1.5,3,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,1.5,210,1.8,1.7,4.7,0,0.5,0.5,1.41,,,,0.8,"CP01",0,0.2,0,1,1,0.45,0.45,1.5,1,1.5,1,19,18,310010,8,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr868",,"","","",1,,,0.3,1.8,2.12,5.3,2.12,3,0.3,1.8,2.12,3,1.2084,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,2.8,1.4,185,1.8,1.1,4.3,0,0,0,0.9116,,,,0.9116,"CP01",0,0.2,0,1.06,1.4,0.57,0.57,1,1,1.22,1,21,18,310013,0,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr869",,"","","",1,,,0.3,1.8,2.025,5.4,2.025,3,0.3,1.8,2.025,3,1.07325,2.862,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,2.7,1,180,1.3,2.1,3,0,0,0,0.81,,,,0.81,"CP01",0,0.2,0,1.35,1.4,0.53,0.53,1,1,1.85,1,26,18,310016,0,10,-1,-1,1,,0,1,0,0,1,2,"CP01",0,0
"chr870",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,1.7,0,180,1.3,1.3,2.8,0,0,0,0.56,,,,0.56,"CP01",0,0.2,0,1,1.4,1,1,1,1,1.15,1.15,25,18,310012,0,-1,-1,-1,0,,0,1,0,0,1,2,"CP01",1,0
"chr871",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.12,-1,3.8,1,3.7,0.4,180,1.2,2.5,3.5,0,0,0,0.7,,,,0.7,"CP01",0,0.2,0,1,1.4,1,1,1,1,0.85,0.85,19,18,310003,10,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",1,0
