string2 0,empty 1,string2 2,string2 3,string2 4,float 5,empty 6,empty 7,float 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,string2 27,string2 28,string2 29,string2 30,string2 31,string2 32,float 33,float 34,float 35,float 36,int32 37,float 38,float 39,int32 40,float 41,float 42,float 43,float 44,float 45,float 46,float 47,empty 48,empty 49,empty 50,float 51,string2 52,float 53,float 54,float 55,float 56,float 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,int8 67,int8 68,int8 69,int8 70,int32 71,empty 72,int32 73,int32 74,int8 75,int8 76,int8 77,int8 78,string2 79,int32 80,int32 81
"chr357",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.84,-1,0.24,1,2,1.5,-1,1.6,1.4,4.6,0,0,0,0.92,,,,0.92,"CP01",0,0.2,0,1,2.3,0.7,0.7,1,1,1,1,25,18,310003,15,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr854",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.1,2,-1,1.6,1.4,4.6,0,0,0,1.426,,,,1.426,"CP01",0,0.2,0,1,1,1,0.7,1.55,1,1.55,1,25,18,310003,15,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr358",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,2.4552,6.9564,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.6,-1,0.36,1,2.9,1.5,-1,1.6,1.4,3.8,0,0,0,0.912,,,,0.912,"CP01",0,0.2,0,1.2,2,0.65,0.65,1,1,1,1,25,18,310010,10,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr855",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.9,2,-1,1.6,1.4,3.8,0,0,0,1.596,,,,1,"CP01",0,0.2,0,1,1.4,1,1,2.1,1,2.1,1,25,18,310010,10,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr418",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.914,5.568,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.76,-1,0.36,1,2.6,0.75,-1,1.6,1.5,3.8,0,0,0,0.76,,,,0.76,"CP01",0,0.2,0,1,2.2,0.8,0.8,1,1,1,1,25,18,310003,16,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr856",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.6,2,-1,1.6,1.5,3.8,0,0,0,1.444,,,,1,"CP01",0,0.2,0,1,1.4,1,1,1.9,1,1.9,1,25,18,310003,16,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr432",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.62,5.04,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.12,-1,0.48,1,2.2,0.5,-1,1.5,1.3,3.6,0,0,0,0.72,,,,0.72,"CP01",0,0.2,0,1,1.4,0.8,0.8,1,1,1,1,23,18,310012,0,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr857",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.2,2,-1,1.5,1.3,3.6,0,0,0,1.044,,,,0.6,"CP01",0,0.2,0,1,1.4,1,1,1.45,1,1.45,1,23,18,310012,0,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr468",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,2.387,6.479,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.44,-1,0.36,1,4.5,2,-1,3.4,1.9,5.8,0,0,0,1.044,,,,1.044,"CP01",0,0.2,0,0.9,1.8,0.65,0.65,1,1,1,1,25,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"chr859",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,4.5,2,-1,3.4,1.9,5.8,0,0,0,2.0373225,,,,1.1,"CP01",0,0.2,0,1,1.4,1,1,1.45,1,1.45,1,25,18,310003,5,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
"npc404a",,"","","",1,,,0.25,1.5,0.25,1.5,0.25,1.5,0.3,1.8,0.25,1.5,0.25,1.5,0.35,1.9,-1,-1,1.5,3,5,"e003","","","","","",7.4,0.496,-1,0.64,0,1,0,180,0.5,0.7,2,0,0.5,0.5,0.4,,,,0.25,"head",0,0.1,0,1,1,1,1,1,1,1,1,15,18,0,0,-1,-1,-1,0,,0,1,0,0,0,0,"head",1,1
