skill_id,empty_001,empty_002,empty_003,name_id,fixed_description_id,unk_int32_006,bool_007,bool_008,unk_int32_009,animation_id,unk_int32_011,effect_id,empty_013,unk_int32_014,empty_015,effect_group_id,empty_017,unk_int32_018,empty_019,unk_int32_020,unknown_021,damage_type,power,unk_int32_024,unk_int32_025,additional_property_1,additional_property,element,increased_damage_against_class,unused_030,unused_031,menu_icon,target_type,min_hits,max_hits,sp_cost,unknown_037,cp_cost,always_hits,accuracy,unknown_041,crit_rate,hp_drain,sp_drain,recoil,conditional_type,conditional_effect,conditional_empty,conditional_arg,conditional_effect_arg,conditional_empty_2,buff_set_01,buff_set_01_empty,buff_set_02,buff_set_02_empty,buff_set_03,buff_set_03_empty,buff_set_04,buff_set_04_empty,buff_set_05,buff_set_05_empty,empty_062,jogress_skill_id,jogress_partner_1,empty_065,jogress_partner_2,empty_067,unk_int32_068,empty_069,unk_int32_070,empty_071,skill_debug_name
21431,,,,21431,0,21431,true,true,30011,4,1,21431,,0,,12003,,0,,0,2,1,25,100,1,0,0,1,-1,-1,-1,-1,5,1,1,50,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
21751,,,,21751,0,21751,true,true,30281,3,1,21751,,0,,12012,,0,,0,2,1,95,100,1,0,0,10,18,-1,-1,-1,1,1,1,195,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
21752,,,,21752,0,21752,true,true,30311,4,1,21752,,0,,12002,,0,,0,2,1,30,100,1,0,0,0,24,-1,-1,-1,1,3,3,195,5,0,0,100,1,15,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
21821,,,,21821,0,21821,true,true,30101,3,1,21821,,0,,12004,,0,,0,2,1,20,100,1,0,0,2,13,-1,-1,-1,5,3,3,275,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
21822,,,,21822,0,21822,true,true,30311,4,1,21822,,0,,12002,,0,,0,2,1,100,100,1,0,0,0,11,-1,-1,-1,1,1,1,265,5,0,1,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
23271,,,,23271,0,23271,true,true,30221,4,1,23271,,0,,12008,,0,,0,2,1,90,100,1,0,0,6,-1,-1,-1,-1,1,1,1,140,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27121,,,,27121,0,27121,true,true,30011,4,1,27121,,0,,12003,,0,,0,2,1,14,100,1,0,0,1,-1,-1,-1,-1,5,3,3,100,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27131,,,,27131,0,27131,true,true,30101,4,1,27131,,0,,12004,,0,,0,2,1,50,100,1,0,0,2,-1,-1,-1,-1,1,1,1,55,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27141,,,,27141,0,27141,true,true,30101,4,1,27141,,0,,12004,,0,,0,2,1,70,100,1,0,0,2,-1,-1,-1,-1,1,1,1,90,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27151,,,,27151,0,27151,true,true,30101,4,1,27151,,0,,12004,,0,,0,2,1,90,100,1,0,0,2,-1,-1,-1,-1,1,1,1,140,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
