int32 0,string3 1,string3 2,float 3,int32 4,int32 5,int32 6,int32 7,int32 8
170106,"","",180,10,2,0,0,0
170108,"","",180,10,2,0,0,0
170203,"","",180,10,2,0,0,0
173004,"","",180,10,2,0,0,0
180104,"","",180,10,1,0,0,0
180105,"","",180,10,1,0,0,0
180208,"","",180,10,1,0,0,0
180210,"","",180,10,1,0,0,0
180406,"","",180,10,1,0,0,0
180407,"","",180,10,1,0,0,0
181001,"","",180,10,1,0,0,0
181002,"","",180,10,1,0,0,0
181003,"","",180,10,1,0,0,0
181005,"","",180,10,1,0,0,0
181103,"","",180,10,1,0,0,0
181104,"","",180,10,1,0,0,0
181301,"","",180,10,1,0,0,0
181302,"","",180,10,1,0,0,0
181303,"","",180,10,1,0,0,0
181401,"","",180,10,1,0,0,0
185001,"","",180,10,1,0,0,0
185006,"","",180,10,1,0,0,0
