string2 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10
"chr448","","chr448_LOD_2","","","","","","","",""
"chr485","","chr485_LOD_2","","","","","","","",""
"chr486","","chr486_LOD_2","","","","","","","",""
"chr487","","chr487_LOD_2","","","","","","","",""
"chr488","","chr488_LOD_2","","","","","","","",""
"chr847","","","","","","","","","",""
"chr851","","","","","","","","","",""
"chr852","","","","","","","","","",""
"chr853","","","","","","","","","",""
"chr858","","","","","","","","","",""
"chr873","","chr873_LOD_2","","","","","","","",""
