string2 0,empty 1,empty 2,string2 3,string2 4,empty 5,int32 6,int32 7,string2 8,int32 9,string2 10,int32 11,string2 12,int32 13
"char_GODDRAMON_BIG",,,"chr848","1048",,0,0,"mma001",0,"",0,"",0
"char_MIRAGEGAOGAMON_BIG",,,"chr849","1095",,0,0,"yma011",0,"",0,"",0
"char_BLITZGREYMON",,,"chr689","1689",,0,0,"ymb011",0,"mpc689",0,"",0
"char_BLITZGREYMON_BIG",,,"chr870","1689",,0,0,"ymb011",0,"mpc689",0,"",0
"char_CRESGARURUMON",,,"chr690","1690",,0,0,"ymb004",0,"mpc690",0,"",0
"char_CRESGARURUMON_BIG",,,"chr871","1690",,0,0,"ymb004",0,"mpc690",0,"",0
"char_OMEGAMON_ALTER-S",,,"chr691","1691",,0,0,"mmb001",0,"mpc691",0,"",0
"char_OMEGAMON_ALTER-S_BIG",,,"chr860","1691",,0,0,"mmb001",0,"mpc691",0,"",0
"char_OMEGAMONZWART_D",,,"chr692","1692",,0,0,"mmb003",0,"mpc692",0,"",0
"char_OMEGAMONZWART_D_BIG",,,"chr861","1692",,0,0,"mmb003",0,"mpc692",0,"",0
"char_OMEGAMON_ALTER-B",,,"chr693","1693",,0,0,"mmb003",0,"mpc693",0,"",0
"char_OMEGAMON_ALTER-B_BIG",,,"chr862","1693",,0,0,"mmb003",0,"mpc693",0,"",0
"char_RAVEMON_BIG",,,"chr850","1740",,0,0,"ymb001",0,"",0,"",0
"char_KUREMI_8YEARSLATER",,,"npc005b","9999",,0,0,"",0,"npc002",0,"",0
"char_KUREMIKYOKO",,,"npc008a","3008",,1,0,"",0,"",0,"",0
