int32 0,empty 1,int32 2,empty 3,empty 4,empty 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,empty 16,empty 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,empty 27,empty 28,empty 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,int32 38,empty 39,empty 40,empty 41,int32 42,int32 43,int32 44,int32 45,int32 46,int32 47,int32 48,int32 49,int32 50,empty 51,empty 52,empty 53,int32 54,int32 55,int32 56,int32 57,int32 58,int32 59,int32 60,int32 61,int32 62,empty 63,empty 64,empty 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,int32 72,int32 73,int32 74,string2 75,int32 76,empty 77,int32 78,empty 79,int32 80,empty 81,bool 82,bool 83,bool 84,int32 85
6000301,,85202,,,,100,2,75,100,100,0,0,1,85002,,,,100,2,75,100,100,0,0,1,-1,,,,30,2,75,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000301",-1,,1,,803,,false,false,false,1
6000302,,74503,,,,100,2,75,100,100,0,0,1,74503,,,,100,2,75,100,100,0,0,1,74503,,,,100,2,75,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,58,"battle_6000302",-1,,1,,803,,false,false,false,1
6000303,,13901,,,,100,2,75,100,100,0,0,1,75402,,,,100,2,75,100,100,0,0,1,67001,,,,100,2,75,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000303",-1,,1,,803,,false,false,false,1
6000304,,85001,,,,100,2,80,100,100,0,0,1,85201,,,,100,2,80,100,100,0,0,1,-1,,,,100,2,80,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000304",-1,,1,,803,,false,false,false,1
6000305,,85301,,,,100,2,80,100,100,0,0,1,85401,,,,100,2,80,100,100,0,0,1,-1,,,,100,2,80,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,62,"battle_6000305",-1,,1,,803,,false,false,false,1
6000306,,83905,,,,100,2,88,100,100,0,0,1,-1,,,,100,2,90,100,100,0,0,1,-1,,,,100,2,90,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,56,"battle_6000306",-1,,1003,,807,,false,false,true,1
6000307,,57402,,,,100,2,70,100,100,0,0,1,8202,,,,100,2,70,100,100,0,0,1,57402,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000308,,19202,,,,100,2,70,100,100,0,0,1,21703,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000309,,19402,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000310,,43103,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000311,,13702,,,,100,2,70,100,100,0,0,1,6003,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000312,,72402,,,,100,2,70,100,100,0,0,1,503,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000313,,21302,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000314,,41302,,,,100,2,70,100,100,0,0,1,38302,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000315,,4402,,,,100,2,70,100,100,0,0,1,73702,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000316,,41302,,,,100,2,70,100,100,0,0,1,72202,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000317,,4402,,,,100,2,70,100,100,0,0,1,77004,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000318,,2803,,,,100,2,70,100,100,0,0,1,38302,,,,100,2,70,100,100,0,0,1,73702,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000319,,9802,,,,100,2,70,100,100,0,0,1,19802,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000320,,47902,,,,100,2,70,100,100,0,0,1,70403,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000321,,42803,,,,100,2,70,100,100,0,0,1,19802,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000322,,41002,,,,100,2,70,100,100,0,0,1,41002,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000323,,2402,,,,100,2,70,100,100,0,0,1,2402,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000324,,48401,,,,100,2,70,100,100,0,0,1,42402,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
6000325,,42402,,,,100,2,70,100,100,0,0,1,59602,,,,100,2,70,100,100,0,0,1,-1,,,,100,2,70,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,803,,false,false,true,1
