chr_id,empty_001,unk_string2_002,unk_string2_003,unk_string2_004,unk_float_005,empty_006,empty_007,unk_float_008,unk_float_009,npc_collision,unk_float_011,unk_float_012,unk_float_013,unk_float_014,unk_float_015,unk_float_016,unk_float_017,unk_float_018,unk_float_019,unk_float_020,unk_float_021,unk_float_022,unk_float_023,unk_float_024,unk_float_025,unk_float_026,unk_string2_027,unk_string2_028,unk_string2_029,unk_string2_030,unk_string2_031,unk_string2_032,unk_float_033,unk_float_034,unk_float_035,unk_float_036,unk_int32_037,digimon_distance_from_agent,agent_distance_2,agent_distance,unk_float_041,unk_float_042,camera_distance_skill,unk_float_044,unk_float_045,unk_float_046,shield_size,empty_048,empty_049,empty_050,unk_float_051,unk_string2_052,unk_float_053,unk_float_054,unk_float_055,battle_scale,unk_float_057,menu_scale,field_scale,unk_float_060,unk_float_061,unk_float_062,unk_float_063,unk_int32_064,unk_int32_065,unk_int32_066,unk_int8_067,unk_int8_068,unk_int8_069,unk_int8_070,rideable,empty_072,unk_int32_073,unk_int32_074,unk_int8_075,unk_int8_076,unk_int8_077,unk_int8_078,unk_string2_079,unk_int32_080,unk_int32_081
"chr851",,"","","",1,,,0.3,1.8,0.84,2.28,0.84,2.28,0.3,1.8,0.84,2.28,0.7308,1.9836,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2,0,-1,1.4,1.6,4,0,0,0,0.56,,,,0.56,"CP01",0,0.2,0,1,1.4,0.49,0.49,0.7,0.7,0.7,1,17,18,310006,10,-1,-1,-1,2,,0,1,0,1,2,0,"CP01",1,0
"chr873",,"","","",1,,,0.3,1.8,1.08,3.24,1.08,3,0.3,1.8,1.08,3,1.08,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,0.8,-1,1,1,1,0,-1,2.5,2.6,3.7,0,0,0,0.25,,,,0.25,"CP01",0,0.2,0,1,1,0.7,0.7,0.3,0.3,0.3,1,40,18,310010,26,-1,-1,-1,0,,0,1,0,0,1,2,"CP01",0,0
"chr485",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.88,2.64,0.88,2.86,1.2,3,1.5,3,5,"fe02","","","","","",7.3,1.6,-1,0.4,1,1.8,0,-1,0.8,1.7,2.6,0,0,0,0.52,,,,0.52,"CP01",0,0.2,0,1,2,0.95,0.95,1,1,1,1,17,18,310001,8,-1,-1,-1,2,,0,1,0,0,1,2,"CP01",0,0
"chr852",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.88,2.64,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.3,1.12,-1,3.8,1,1.8,0.5,-1,0.8,1.7,2.6,0,0,0,0.728,,,,0.728,"CP01",0,0.2,0,1,1.4,0.88,0.88,1.4,1,1.4,1,17,18,310001,8,-1,-1,-1,0,,0,1,0,0,1,2,"CP01",0,0
"chr486",,"","","",1,,,0.3,1.8,0.6,2.2,0.6,2.2,0.3,1.8,0.6,2.2,0.6,2.2,0.63,2.16,0.72,2.2,0.5,-1,5,"fe02","","","","","",7.3,1.6,-1,0.4,1,2,0,-1,0.6,0.8,2,0,0,0,0.4,,,,0.4,"CP01",0,0.2,0,1,2,0.95,0.95,1,1,1,1,18,18,310020,2,-1,-1,-1,0,,0,1,0,0,2,1,"CP01",1,0
"chr487",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.68,2.04,1.995,4.095,1.2,3,0.5,-1,5,"fe02","","","","","",7.2,2,-1,0.4,1,2.5,0.5,-1,2,1.5,3.5,0,0,0,0.7,,,,0.7,"CP01",0,0.2,0,1,2.5,0.68,0.68,1,1,1,1,17,18,310010,8,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",1,0
"chr853",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.68,2.04,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,1.12,-1,3.8,1,2.5,1.75,-1,2,1.5,3.5,0,0,0,0.98,,,,0.98,"CP01",0,0.2,0,1,1.4,0.68,0.68,1.4,1,1.4,1,17,18,310010,8,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",1,0
"chr488",,"","","",1,,,0.3,1.8,0.96,3.52,0.96,3,0.3,1.8,0.96,3,0.8352,3,1,3,1.152,3,0.5,-1,5,"fe02","","","","","",6,1.6,-1,0.4,1,2,0,-1,0.6,1.2,1.3,0,0,0,0.26,,,,0.26,"CP01",0,0.2,0,1,2,1,1,1,1,1,1,17,18,310010,8,-1,-1,-1,2,,0,1,1,0,2,0,"CP01",1,0
"chr448",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,1.554,4.218,1.2,3,1.5,3,5,"fe02","","","","","",7.5,1.84,-1,0.24,1,3.5,1.5,185,1.7,1.8,4.2,0,0,0,0.9324,,,,0.9324,"CP01",0,0.2,0,1.11,2.3,0.7,0.7,1,0.5,1,1,25,18,310022,0,-1,-1,-1,1,,0,1,0,2,1,0,"CP01",0,0
"chr858",,"","","",1,,,0.3,1.8,1,3,1,3,0.3,1.8,1,3,1,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.5,0.8,-1,4,1,3.5,2,200,1.7,1.8,4.2,0,0,0,1.47,,,,1.47,"CP01",0,0.2,0,1,1,1,1,1.75,0.5,1.75,1,25,18,310022,0,-1,-1,-1,0,,0,1,0,2,1,0,"CP01",0,0
