motion_key,motion_name
"chr448_d240_072_c04","d240_072_c04"
"chr448_d240_072_c05","d240_072_c05"
"chr448_d240_072_c06","d240_072_c06"
"chr448_d240_072_c09","d240_072_c09"
"chr448_d240_072_c10","d240_072_c10"
"chr448_d240_072_c14","d240_072_c14"
"chr448_d250_011_c03","d250_011_c03"
"chr449_d250_011_c01","d250_011_c01"
"chr449_d250_011_c02","d250_011_c02"
"chr449_d250_011_c04","d250_011_c04"
"chr449_d250_011_c09","d250_011_c09"
"chr449_d250_011_c10","d250_011_c10"
"chr449_d250_011_c11","d250_011_c11"
"chr449_d250_011_c12","d250_011_c12"
"chr449_d250_011_c13","d250_011_c13"
"chr485_ba01","ba01"
"chr485_ba02","ba02"
"chr485_d240_072_c06","d240_072_c06"
"chr485_d240_072_c09","d240_072_c09"
"chr485_d240_072_c11","d240_072_c11"
"chr485_d240_072_c14","d240_072_c14"
"chr485_d250_011_c07","d250_011_c07"
"chr485_d250_011_c08","d250_011_c08"
"chr485_d250_011_c10","d250_011_c10"
"chr485_d250_011_c11","d250_011_c11"
"chr485_d250_011_c12","d250_011_c12"
"chr485_d250_011_c14","d250_011_c14"
"chr486_ba01","ba01"
"chr486_ba02","ba02"
"chr486_d240_072_c06","d240_072_c06"
"chr486_d240_072_c09","d240_072_c09"
"chr486_d240_072_c12","d240_072_c12"
"chr486_d240_072_c14","d240_072_c14"
"chr486_d250_011_c06","d250_011_c06"
"chr486_d250_011_c07","d250_011_c07"
"chr486_d250_011_c08","d250_011_c08"
"chr486_d250_011_c10","d250_011_c10"
"chr486_d250_011_c11","d250_011_c11"
"chr486_d250_011_c12","d250_011_c12"
"chr486_d250_011_c14","d250_011_c14"
"chr487_ba01","ba01"
"chr487_ba02","ba02"
"chr487_d240_072_c06","d240_072_c06"
"chr487_d240_072_c09","d240_072_c09"
"chr487_d240_072_c12","d240_072_c12"
"chr487_d240_072_c14","d240_072_c14"
"chr487_d250_011_c07","d250_011_c07"
"chr487_d250_011_c08","d250_011_c08"
"chr487_d250_011_c10","d250_011_c10"
"chr487_d250_011_c11","d250_011_c11"
"chr487_d250_011_c12","d250_011_c12"
"chr487_d250_011_c14","d250_011_c14"
"chr488_d240_072_c06","d240_072_c06"
"chr488_d240_072_c09","d240_072_c09"
"chr488_d240_072_c11","d240_072_c11"
"chr488_d240_072_c14","d240_072_c14"
"chr488_d250_011_c07","d250_011_c07"
"chr488_d250_011_c08","d250_011_c08"
"chr488_d250_011_c10","d250_011_c10"
"chr488_d250_011_c11","d250_011_c11"
"chr488_d250_011_c12","d250_011_c12"
"chr488_d250_011_c14","d250_011_c14"
