key,text
"char_BANCHOLEOMON_BIG","BanchoLeomon"
"char_OMEGAMON_BEMERCIFUL","Omnimon"
"char_OMEGAMON:MERCIFUL MODE","Omnimon MM"
"char_OMEGAMON:MERCIFUL MODE_BIG","Omnimon MM"
"char_PARALLELMON","Parallelmon"
"char_PARALLELMON_SMALL","Parallelmon"
"char_PARALLELMON_BIG","Parallelmon"
"char_BANCHOSTINGMON","BanchoStingmon"
"char_BANCHOSTINGMON_BIG","BanchoStingmon"
"char_BANCHOLILIMON","BanchoLillymon"
"char_BANCHOGOLEMON","BanchoGolemon"
"char_BANCHOGOLEMON_BIG","BanchoGolemon"
"char_BANCHOMAMEMON","BanchoMamemon"
"char_AKASHIC_BACKDOOR","Akashic Backdoor"
"char_AKASHIC_BACKDOOR_nickname","Space-Time Pathway"
